timecentral,lat,lon,headwaysecs,scheduledheadwaysecs,HR,HS,PR,I_PW
2022-06-20 13:00:00,30.287370563531596,-97.7314549099033,1334.2783963277664,1311.7084432073445,0.974164165524799,0.42810637892348513,0.974164165524799,5564.0
2022-06-20 14:00:00,30.289272693523294,-97.73044259724789,1353.313549061558,1323.8184138869979,0.965689729232416,0.42864672783744695,0.9656897292324159,7087.0
2022-06-20 15:00:00,30.28874592813517,-97.73180039259489,1397.9409658024192,1346.928444117018,0.9430157219362088,0.4072447963081419,0.9430157219362088,7575.0
2022-06-20 16:00:00,30.289829780920282,-97.73188553951739,1417.1644612153186,1380.6736029699102,0.9386410052559349,0.44089390791234395,0.9386410052559347,6935.0
2022-06-20 17:00:00,30.29105853007427,-97.73172092931938,1498.9291397784002,1446.0917447948375,0.9249715174966,0.393400912959494,0.9249715174966001,6096.0
2022-06-20 18:00:00,30.28821237956886,-97.73253449012945,1493.7512334950322,1438.712184492464,0.9221529225468446,0.3994263657999505,0.9221529225468446,6745.0
2022-06-20 19:00:00,30.28888147770016,-97.73139119969456,1478.50960151588,1420.7428377499364,0.9442792096341472,0.4751402543886296,0.9442792096341471,6466.0
2022-06-20 20:00:00,30.286614212847468,-97.73116660771562,1665.4180817890235,1622.4609319315753,0.957481552746311,0.5739684052614058,0.957481552746311,3811.0
2022-06-20 21:00:00,30.28662196370072,-97.73174255149301,1767.864664683511,1750.0440561810447,0.9813620895899695,0.6470158398492456,0.9813620895899695,3770.0
2022-06-20 22:00:00,30.287188206136562,-97.73489394598097,1762.589144338807,1751.4011235955056,0.9879636008458395,0.6701893564177527,0.9879636008458395,2658.0
2022-06-20 23:00:00,30.28575974169742,-97.73579831953725,1759.6488281639574,1725.4262491273562,0.9776638155557487,0.6356187421194393,0.9776638155557485,1287.0
2022-06-21 00:00:00,30.283154677230048,-97.7344283568075,1831.4012910798122,1696.8309859154929,0.8994356835457187,0.6620994854684047,0.8994356835457188,353.0
2022-06-21 01:00:00,30.273170764212487,-97.73650479962721,1920.7346691519106,1801.677539608574,0.8874455206437966,0.8046539081234831,0.8874455206437966,243.0
2022-06-21 02:00:00,30.271128681003585,-97.73705751971326,1954.9200716845878,1801.0752688172042,0.8714899470899471,0.8150555336398316,0.8714899470899471,423.0
2022-06-21 03:00:00,30.2772067260788,-97.73402987804879,1903.918574108818,1764.2589118198873,0.8873103092706751,0.7748378462206764,0.8873103092706751,249.0
2022-06-21 04:00:00,30.29826710352423,-97.70564662995595,1484.0752202643173,1545.7797356828194,0.9642492455768666,0.7425203313268599,1.0357507544231335,8.0
2022-06-21 05:00:00,30.28467862703681,-97.72593807558842,1482.5489891369944,1486.491928183464,0.9929258532882361,0.6428526506585506,0.9929258532882362,892.0
2022-06-21 06:00:00,30.285903509518477,-97.73316666368048,1431.920156774916,1388.1792459873086,0.95830742200898,0.520121225215262,0.9583074220089801,3253.0
2022-06-21 07:00:00,30.289580847133248,-97.73440029637703,1466.497017623136,1420.1784109938599,0.9482904691618816,0.37082126184092723,0.9482904691618818,5324.0
2022-06-21 08:00:00,30.29036387357289,-97.73321264463407,1437.2914697752674,1393.5121980531187,0.9490930951642882,0.35349936077795097,0.9490930951642881,6374.0
2022-06-21 09:00:00,30.287248490622062,-97.73145696812986,1338.374446973821,1294.8014796852576,0.9526547099570881,0.4313921888184392,0.9526547099570882,6806.0
2022-06-21 10:00:00,30.287945608849647,-97.73211597001895,1346.529679237753,1299.4891000698394,0.9468181342065736,0.4297598842686865,0.9468181342065737,6376.0
2022-06-21 11:00:00,30.286494874790467,-97.73162964748312,1377.606097932646,1312.6038502565145,0.9372179338434043,0.4111622084597948,0.9372179338434043,6918.0
2022-06-21 12:00:00,30.28623877160182,-97.73207778271855,1361.3368620515412,1308.694315310763,0.941239763292369,0.4172559125581271,0.9412397632923691,7489.0
2022-06-21 13:00:00,30.28660181590062,-97.73205409391304,1336.602559006211,1298.4996273291924,0.9580679483043613,0.40820331506620555,0.9580679483043613,7091.0
2022-06-21 14:00:00,30.283512662368413,-97.73282040432738,1150.9824245073398,1155.660838524023,0.9882964754838448,0.472391223421736,0.9882964754838449,4059.0
2022-06-21 15:00:00,30.287256735766565,-97.7329106405659,1373.1158594095398,1326.4806946013657,0.9427881412884187,0.4287315436764235,0.9427881412884187,7518.0
2022-06-21 16:00:00,30.28982102247486,-97.7323170875827,1433.821060928133,1375.7094031383601,0.9369123921299627,0.4148154962731,0.9369123921299627,8022.0
2022-06-21 17:00:00,30.28922470573216,-97.7335228788459,1521.5926273458447,1428.8684092940125,0.8999499978483929,0.34531986606685217,0.8999499978483929,7095.0
2022-06-21 18:00:00,30.28761877276434,-97.73296129192715,1493.7049904865453,1432.7812449035064,0.9299711125161894,0.3524487184131301,0.9299711125161895,6795.0
2022-06-21 19:00:00,30.287121366869037,-97.73259553454756,1484.733220583984,1408.7251228678808,0.9316689902076636,0.4559104801985251,0.9316689902076636,6032.0
2022-06-21 20:00:00,30.286699038643842,-97.73104734846373,1687.5334578709642,1605.9980482908604,0.938158800306407,0.5294159704431156,0.9381588003064067,3117.0
2022-06-21 21:00:00,30.286093275528433,-97.73252230574576,1766.979160464424,1748.2103676689492,0.9862695287038534,0.6441682228672592,0.9862695287038533,3445.0
2022-06-21 22:00:00,30.289121391950783,-97.73419066735026,1745.6707895411432,1746.902076390669,0.9975192757140838,0.6708234604817099,0.9975192757140838,2960.0
2022-06-21 23:00:00,30.28456255863147,-97.73595714890095,1701.0069438057574,1704.022440908673,0.997345553105611,0.6648359440460108,0.997345553105611,1548.0
2022-06-22 00:00:00,30.28559576408787,-97.73340959885387,1682.953724928367,1639.541547277937,0.9775056643319537,0.6969905967255334,0.9775056643319537,304.0
2022-06-22 01:00:00,30.27341167098446,-97.74413299222797,1587.5779792746114,1567.2279792746115,0.988945621556049,0.6883772770785116,0.988945621556049,69.0
2022-06-22 02:00:00,30.274158073541166,-97.7411350039968,2031.1378896882493,1631.4148681055156,0.8138709223097711,0.19247827736294765,0.8138709223097712,416.0
